Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.16,-.28,-.04,-.38,-.11,-.02,-.81,-.47,-.29,-.14,-.09,-.04,.05,.68
1881,-.08,-.18,.01,-.36,.12,-.07,-.94,-.47,-.20,.11,.12,-.05,-.07,.60
